Model_Name,Epoch,G_GAN,D_real,D_fake,G,NCE,NCE_Y
kanji_cut_128,1,0.58976,0.19654,0.17942,3.11898,2.79268,2.26564
kanji_cut_128,2,0.6581,0.18302,0.20282,2.98508,2.71472,1.93924
kanji_cut_128,3,0.79028,0.148,0.104,3.15184,2.80278,1.92022
kanji_cut_128,4,0.89842,0.0839,0.06732,3.4114,3.04724,1.97884
kanji_cut_128,5,0.86842,0.0806,0.06808,3.30934,2.96432,1.91754
kanji_cut_128,6,0.88852,0.10676,0.09536,3.47016,3.20708,1.95632
kanji_cut_128,7,0.90622,0.09878,0.077,3.35938,3.01504,1.89124
kanji_cut_128,8,0.94238,0.06018,0.0611,3.43258,3.05788,1.92252
kanji_cut_128,9,0.92682,0.04578,0.05718,3.36996,2.99958,1.8866
kanji_cut_128,10,0.95414,0.06562,0.0487,3.35,2.91092,1.8809
kanji_cut_128,11,0.85512,0.08046,0.07416,3.25152,2.91996,1.87258
kanji_cut_128,12,0.99764,0.04232,0.04722,3.4254,3.00632,1.849
kanji_cut_128,13,0.96682,0.04778,0.04754,3.43316,3.05872,1.87418
kanji_cut_128,14,0.9457,0.04044,0.04718,3.46962,3.13862,1.90934
kanji_cut_128,15,0.94922,0.04314,0.06554,3.36408,2.94422,1.88552
kanji_cut_128,16,0.95808,0.05446,0.04304,3.39438,2.9821,1.8905
kanji_cut_128,17,0.98752,0.02164,0.03566,3.26726,2.7126,1.84676
kanji_cut_128,18,0.96,0.03632,0.06196,3.30018,2.83398,1.84638
kanji_cut_128,19,0.9334,0.04348,0.04978,3.21944,2.76988,1.80224
kanji_cut_128,20,0.95014,0.04198,0.05026,3.26982,2.76524,1.87412
kanji_cut_128,21,0.95444,0.03064,0.03112,3.21178,2.67428,1.84026
kanji_cut_128,22,0.99498,0.00248,0.0056,2.85828,1.98278,1.74376
kanji_cut_128,23,0.93446,0.03838,0.04412,3.13578,2.5624,1.84018
kanji_cut_128,24,0.968,0.02738,0.04308,3.1495,2.64082,1.72214
kanji_cut_128,25,0.97408,0.04012,0.04886,3.22978,2.71228,1.79898
kanji_cut_128,26,0.94876,0.04494,0.04138,3.09358,2.54716,1.74252
kanji_cut_128,27,0.95512,0.02854,0.02994,3.16908,2.64868,1.7793
kanji_cut_128,28,0.95418,0.0272,0.04638,3.2326,2.7308,1.826
kanji_cut_128,29,0.98944,0.0215,0.04566,3.16378,2.58682,1.76188
kanji_cut_128,30,0.97788,0.03388,0.03626,3.09972,2.46188,1.78182
kanji_cut_128,31,0.98682,0.02232,0.01988,3.0799,2.38408,1.80196
kanji_cut_128,32,0.93896,0.05828,0.03728,3.10968,2.57962,1.76204
kanji_cut_128,33,0.99562,0.00498,0.00974,3.00702,2.23272,1.79
kanji_cut_128,34,0.9714,0.03628,0.0118,2.91424,2.16414,1.72168
kanji_cut_128,35,0.936,0.05026,0.03252,3.02352,2.40238,1.77256
kanji_cut_128,36,0.98414,0.02236,0.0313,3.21016,2.65216,1.79974
kanji_cut_128,37,0.93368,0.0232,0.03404,3.04298,2.48668,1.7318
kanji_cut_128,38,0.93564,0.03346,0.01102,3.12126,2.59438,1.77674
kanji_cut_128,39,0.93102,0.05408,0.04638,3.0612,2.50064,1.75966
kanji_cut_128,40,0.96838,0.03656,0.0237,3.09926,2.45958,1.80228
kanji_cut_128,41,0.99624,0.01808,0.03108,3.02354,2.32258,1.73184
kanji_cut_128,42,0.9627,0.02618,0.0325,2.97514,2.28686,1.73814
kanji_cut_128,43,0.99086,0.01524,0.0346,3.07072,2.40138,1.75836
kanji_cut_128,44,0.99482,0.009,0.01522,2.95708,2.2054,1.7193
kanji_cut_128,45,0.95208,0.03144,0.01978,2.9926,2.31098,1.77036
kanji_cut_128,46,0.99356,0.0047,0.00454,2.91406,2.12484,1.71598
kanji_cut_128,47,1.00474,0.0028,0.00466,2.90684,2.0579,1.74624
kanji_cut_128,48,0.997,0.00144,0.00188,2.80414,1.88456,1.72974
kanji_cut_128,49,1.0055,0.02292,0.00472,2.65984,1.56502,1.7436
kanji_cut_128,50,1.00428,0.00058,0.001,2.70044,1.61526,1.77702
kanji_cut_128,51,0.99636,0.03512,0.0401,2.77514,1.8681,1.68962
kanji_cut_128,52,0.91878,0.05208,0.04502,3.10262,2.63144,1.73644
kanji_cut_128,53,1.0029,0.00944,0.0113,2.99882,2.23738,1.75418
kanji_cut_128,54,1.00926,0.00232,0.00276,2.7688,1.82468,1.69446
kanji_cut_128,55,0.98552,0.00804,0.01982,2.77724,1.84542,1.738
kanji_cut_128,56,0.92652,0.04614,0.0286,2.86998,2.18586,1.7013
kanji_cut_128,57,1.00624,0.00106,0.00136,2.78796,1.85216,1.71118
kanji_cut_128,58,0.98032,0.01914,0.03086,2.88006,2.05626,1.74326
kanji_cut_128,59,1.00332,0.0019,0.00344,2.83694,1.9501,1.717
kanji_cut_128,60,1.00114,0.00164,0.00184,2.68676,1.66306,1.70824
kanji_cut_128,61,1.0063,0.0034,0.00278,2.57396,1.47164,1.66356
kanji_cut_128,62,0.9995,0.0012,0.0014,2.54942,1.42784,1.67202
kanji_cut_128,63,0.97094,0.02866,0.03154,2.86612,2.06728,1.72326
kanji_cut_128,64,0.97974,0.02238,0.01432,2.98422,2.2865,1.72254
kanji_cut_128,65,1.00134,0.00274,0.00576,2.79938,1.91288,1.68314
kanji_cut_128,66,0.97104,0.0115,0.01042,2.57412,1.56502,1.64118
kanji_cut_128,67,0.99176,0.00614,0.01094,2.898,2.11576,1.6968
kanji_cut_128,68,1.00516,0.00268,0.00332,2.81448,1.86742,1.75108
kanji_cut_128,69,0.99138,0.0011,0.00168,2.64968,1.63872,1.67804
kanji_cut_128,70,1.0089,0.00138,0.002,2.49618,1.32992,1.64494
kanji_cut_128,71,0.9972,0.0021,0.00396,2.45568,1.34256,1.5744
kanji_cut_128,72,0.99662,0.00114,0.0013,2.37822,1.12124,1.6418
kanji_cut_128,73,1.00178,0.0012,0.00236,2.47178,1.31092,1.62902
kanji_cut_128,74,0.9991,0.00072,0.0009,2.406,1.24954,1.56402
kanji_cut_128,75,1.01104,0.00128,0.00134,2.39942,1.12712,1.64946
kanji_cut_128,76,1.00802,0.0107,0.00848,2.42486,1.18978,1.644
kanji_cut_128,77,0.99544,0.00066,0.00086,2.3721,1.1556,1.59784
kanji_cut_128,78,1.00952,0.00106,0.0009,2.36714,1.113,1.60214
kanji_cut_128,79,0.99124,0.01562,0.00292,2.3426,1.11596,1.58668
kanji_cut_128,80,0.99536,0.00124,0.00138,2.34286,1.07314,1.6217
kanji_cut_128,81,1.00582,0.00258,0.00236,2.38862,1.1607,1.60502
kanji_cut_128,82,1.00714,0.00108,0.0014,2.38544,1.14084,1.61578
kanji_cut_128,83,0.99628,0.0012,0.00114,2.32494,1.0703,1.5869
kanji_cut_128,84,1.01256,0.00104,0.00108,2.31144,1.02438,1.5735
kanji_cut_128,85,1.00006,0.00088,0.00864,2.33128,1.09136,1.5712
kanji_cut_128,86,1.00584,0.00066,0.00076,2.3234,1.03516,1.6
kanji_cut_128,87,0.99684,0.00502,0.00448,2.40408,1.19922,1.61548
kanji_cut_128,88,1.00236,0.00094,0.00084,2.32984,1.04048,1.61448
kanji_cut_128,89,1.00724,0.00108,0.00108,2.29818,1.00662,1.57516
kanji_cut_128,90,1.0047,0.0014,0.01424,2.29964,1.04936,1.54052
kanji_cut_128,91,0.99382,0.00518,0.00418,2.29422,1.04688,1.55384
kanji_cut_128,92,0.9946,0.00068,0.00062,2.3273,1.05274,1.61258
kanji_cut_128,93,0.99636,0.00038,0.00034,2.28464,1.04034,1.53616
kanji_cut_128,94,0.9986,0.00122,0.00118,2.2831,0.99422,1.5748
kanji_cut_128,95,1.01322,0.0031,0.0027,2.30024,1.04424,1.52962
kanji_cut_128,96,1.00048,0.00066,0.00062,2.31876,1.006,1.63038
kanji_cut_128,97,0.99592,0.00088,0.00088,2.28912,1.00202,1.58424
kanji_cut_128,98,0.9984,0.00286,0.00234,2.32228,1.00474,1.64284
kanji_cut_128,99,1.0046,0.00076,0.00072,2.29464,0.97724,1.60272
kanji_cut_128,100,1.0048,0.0008,0.00084,2.27244,0.93176,1.60352
kanji_cut_128,101,1.00176,0.0023,0.00202,2.2483,0.9387,1.55442
kanji_cut_128,102,0.9914,0.00044,0.00038,2.25168,0.92758,1.59288
kanji_cut_128,103,1.01412,0.00144,0.0019,2.24428,0.91586,1.54422
kanji_cut_128,104,1.0021,0.00058,0.0006,2.24816,0.92216,1.56974
kanji_cut_128,105,1.00308,0.01616,0.01762,2.24646,0.92174,1.56498
kanji_cut_128,106,1.00196,0.00026,0.00016,2.24824,0.89996,1.5927
kanji_cut_128,107,1.0139,0.00176,0.0066,2.26934,0.93912,1.57172
kanji_cut_128,108,1.0029,0.00018,0.0001,2.24418,0.88978,1.59314
kanji_cut_128,109,0.99928,0.00046,0.00042,2.24858,0.88334,1.61518
kanji_cut_128,110,0.9911,0.00048,0.00054,2.2106,0.87798,1.56102
kanji_cut_128,111,1.00068,0.00016,0.00014,2.24226,0.87366,1.60962
kanji_cut_128,112,1.00676,0.0008,0.00078,2.2223,0.85794,1.5731
kanji_cut_128,113,1.01026,0.00066,0.00078,2.2062,0.86552,1.5262
kanji_cut_128,114,1.0058,0.00034,0.0003,2.19902,0.85396,1.53252
kanji_cut_128,115,1.00278,0.00044,0.00042,2.2221,0.83294,1.60586
kanji_cut_128,116,0.99632,0.00018,8e-05,2.18472,0.81912,1.55794
kanji_cut_128,117,1.00442,0.00052,0.00046,2.19542,0.84096,1.54094
kanji_cut_128,118,1.00044,0.0002,0.00016,2.21086,0.83502,1.58566
kanji_cut_128,119,1.00416,0.0004,0.0004,2.20374,0.83918,1.55982
kanji_cut_128,120,0.99814,0.0015,0.00046,2.18076,0.81774,1.54742
kanji_cut_128,121,0.99862,0.00022,0.0002,2.21504,0.82868,1.60414
kanji_cut_128,122,0.99462,0.00028,0.00022,2.16558,0.81142,1.53022
kanji_cut_128,123,0.99556,0.00022,0.00024,2.18952,0.81202,1.57582
kanji_cut_128,124,0.9924,0.00018,0.0002,2.18444,0.81754,1.56664
kanji_cut_128,125,0.99076,0.0008,0.0005,2.1551,0.79634,1.53228
kanji_cut_128,126,1.0018,0.00018,0.00016,2.19282,0.80466,1.57744
kanji_cut_128,127,1.00528,0.0003,0.00032,2.21372,0.79806,1.61878
kanji_cut_128,128,1.00726,0.00026,0.00026,2.19356,0.798,1.57458
kanji_cut_128,129,0.9987,0.00054,0.00034,2.1704,0.79834,1.5452
kanji_cut_128,130,0.99934,0.00012,6e-05,2.19654,0.79014,1.60448
kanji_cut_128,131,0.99958,0.00024,0.0002,2.1918,0.79158,1.5928
kanji_cut_128,132,1.00102,0.00018,0.00016,2.14898,0.76814,1.52742
kanji_cut_128,133,0.9965,0.00056,0.00046,2.13982,0.77026,1.51634
kanji_cut_128,134,1.00394,0.00024,0.0002,2.16098,0.76932,1.5447
kanji_cut_128,135,1.0037,0.00018,0.00016,2.15302,0.7645,1.53404
kanji_cut_128,136,0.9967,0.0002,0.00018,2.13668,0.76586,1.51412
kanji_cut_128,137,1.00186,0.0002,0.00016,2.15684,0.76124,1.54872
kanji_cut_128,138,1.00194,0.00018,0.00018,2.15068,0.74784,1.5498
kanji_cut_128,139,1.00234,0.00016,0.00016,2.15742,0.73594,1.57414
kanji_cut_128,140,0.99954,0.00016,0.00014,2.16666,0.75654,1.57764
kanji_cut_128,141,1.00012,8e-05,8e-05,2.1368,0.76938,1.50392
kanji_cut_128,142,0.9973,0.00014,0.00014,2.15748,0.75934,1.56088
kanji_cut_128,143,0.99936,0.00012,0.00012,2.15982,0.74804,1.5729
kanji_cut_128,144,1.0019,6e-05,6e-05,2.13712,0.71774,1.55274
kanji_cut_128,145,0.99906,2e-05,4e-05,2.1464,0.74326,1.55142
kanji_cut_128,146,1.00232,4e-05,4e-05,2.12842,0.71196,1.54028
kanji_cut_128,147,1.00486,8e-05,6e-05,2.14432,0.69872,1.58006
kanji_cut_128,148,0.99838,2e-05,2e-05,2.12746,0.73074,1.52754
kanji_cut_128,149,1.0005,6e-05,6e-05,2.1378,0.7229,1.55172
kanji_cut_128,150,0.99994,4e-05,2e-05,2.13622,0.70078,1.57184
kanji_cut_128,151,1.00088,8e-05,6e-05,2.135,0.70484,1.56358
kanji_cut_128,152,0.99952,0.0,0.0,2.1183,0.68774,1.54986
kanji_cut_128,153,1.00092,2e-05,4e-05,2.14048,0.7192,1.55978
kanji_cut_128,154,1.00142,0.0,0.0,2.1222,0.68998,1.55144
kanji_cut_128,155,1.00248,4e-05,2e-05,2.0918,0.67638,1.50222
kanji_cut_128,156,0.99904,2e-05,2e-05,2.09924,0.66234,1.53824
kanji_cut_128,157,1.00034,2e-05,2e-05,2.1309,0.70644,1.55484
kanji_cut_128,158,1.00242,2e-05,0.0,2.16126,0.70438,1.6133
kanji_cut_128,159,0.99828,0.0,0.0,2.12902,0.70234,1.55914
